Wall time,Step,Value
1529391946,10555,0.254271388
1529392284,10567,0.277815998
1529393155,10598,0.244734839
1529393841,10607,0.205905586
1529394319,10624,0.218276367
1529394459,10629,0.217985988
1529394713,10638,0.229695782
1529394938,10646,0.226903349
1529395594,10654,0.195947021
1529396073,10671,0.237010598
1529397346,10701,0.246962026
1529397632,10711,0.327256888
1529398679,10748,0.291832328
1529399368,10757,0.210749567
1529399397,10758,0.23230803
1529400036,10780,0.193005249
1529400245,10787,0.233218729
1529401553,10815,0.20237878
1529401836,10825,0.2249396
1529401979,10830,0.234636143
1529402298,10841,0.214414045
1529402555,10850,0.19418335
1529403385,10864,0.177694976
1529404887,10902,0.103189714
1529404972,10905,0.10827741
1529405930,10939,0.126180023
1529406043,10943,0.204286456
1529407128,10966,0.191049233
1529407296,10972,0.234724477
1529407352,10974,0.251384348
1529408905,11014,0.23827292
1529409074,11020,0.228853777
1529409130,11022,0.209096253
1529409439,11033,0.229067564
1529409579,11038,0.184108153
1529410400,11052,0.150845319
1529410652,11061,0.219225466
1529411100,11077,0.164613679
1529412228,11102,0.188422173
1529412758,11121,0.298594236
1529413018,11130,0.15874368
1529413563,11148,0.26707384
1529414821,11175,0.202730656
1529415551,11198,0.205475122
1529415608,11200,0.175396815
1529416078,11201,0.205635458
1529418185,11260,0.15022245
1529418269,11263,0.130964696
1529418521,11272,0.219204202
1529420030,11310,0.197288886
1529421942,11361,0.280005991
1529423780,11411,0.257700652
1529424002,11419,0.242454231
1529425433,11455,0.180941299
1529425906,11472,0.285065919
1529426463,11492,0.187097654
1529427691,11520,0.221680984
1529427777,11523,0.288037479
1529427976,11530,0.250378579
1529428036,11532,0.29949525
1529428538,11549,0.237311408
1529429266,11557,0.250528157
1529429540,11566,0.268054307
1529429989,11581,0.286342055
1529430449,11597,0.199794233
1529431975,11636,0.17762585
1529432310,11648,0.119902164
1529433077,11660,0.176875278
1529433386,11671,0.219238341
1529433780,11685,0.293346703
1529433836,11687,0.149006218
1529435274,11723,0.103770092
1529436715,11759,0.187602207
1529437472,11786,0.149743363
1529438323,11801,0.159506708
1529439162,11831,0.227371797
1529440261,11855,0.170595184
1529440766,11873,0.176432163
1529442123,11906,0.215250209
1529442878,11933,0.153488949
1529443242,11946,0.251646638
1529443298,11948,0.214309067
1529444317,11969,0.224378198
1529444457,11974,0.206522793
1529444847,11988,0.212264076
1529445128,11998,0.244425893
1529445704,12003,0.192785352
1529445898,12010,0.151256397
1529446432,12029,0.185277432
1529446769,12041,0.192755476
1529450346,12138,0.247385427
1529451196,12153,0.207755461
1529451503,12164,0.198045164
1529451616,12168,0.241926253
1529452063,12184,0.200403705
1529453417,12217,0.179820344
1529453670,12226,0.218894958
1529455335,12270,0.168347254
1529455897,12290,0.130445108
1529455981,12293,0.162660703
1529456860,12309,0.215346754
1529457307,12325,0.209507391
1529459726,12396,0.212625921
1529460409,12405,0.216294482
1529461277,12436,0.242241994
1529462236,12455,0.151156977
1529462320,12458,0.118365996
1529462937,12480,0.323693544
1529465198,12545,0.117863849
1529465855,12553,0.176610887
1529466447,12574,0.171333238
1529467066,12596,0.09481781
1529468309,12625,0.212748751
1529470025,12671,0.19345063
1529470813,12699,0.165181726
1529473342,12758,0.238277987
1529473797,12774,0.214437708
1529475111,12805,0.178748086
1529475928,12834,0.175729588
1529477065,12859,0.171157077
1529477206,12864,0.233291894
1529477574,12877,0.245671317
